"gender","event","medal","athlete","abb","year"
"Women","100 m Backstroke CP D","Silver","POORTVLIET W.","NED",1980
"Women","100 m Backstroke CP D","Bronze","GINNISH Gayle","USA",1980
"Women","100 m Backstroke C-D","Gold","MITCHELL J.","CAN",1980
"Women","100 m Backstroke C-D","Silver","VAUGHAN M.","GBR",1980
"Women","100 m Backstroke C-D","Bronze","RONNEGARD Helen","SWE",1980
"Women","100 m Backstroke C1-D1","Gold","DUDKA Ewa","POL",1980
"Women","100 m Backstroke C1-D1","Silver","SANDERS Mirjam","NED",1980
"Women","100 m Backstroke C1-D1","Bronze","MASTAD Maj Britt","NOR",1980
"Women","100 m Backstroke E","Gold","AHRENSTRAND Annelie","SWE",1980
"Women","100 m Backstroke E","Silver","KORNIEWICZ Anna","POL",1980
"Women","100 m Backstroke E","Bronze","DURANCEAU Isabelle","FRA",1980
"Women","100 m Backstroke 4","Gold","IGNACZUK G.","POL",1980
"Women","100 m Backstroke 4","Silver","HERRERAS Teresa","ESP",1980
"Women","100 m Backstroke 4","Bronze","SALDEN C.","NED",1980
"Women","100 m Backstroke 5","Gold","SWANEPOEL C.","FRG",1980
"Women","100 m Backstroke 5","Silver","KOZLOWSKA Malgorzata","POL",1980
"Women","100 m Backstroke 5","Bronze","WILKINSON L.","GBR",1980
"Women","100 m Backstroke 6","Gold","OGORZELSKA Agnieszka","POL",1980
"Women","100 m Backstroke 6","Silver","JABALOYAS Pilar","ESP",1980
"Women","25 m Breaststroke 1A","Gold","GARCIA Eugenia","ARG",1980
"Women","25 m Breaststroke 1A","Silver","JAMES Sandra","ZIM",1980
"Women","25 m Breaststroke 1B","Gold","LOPEZ Monica","ARG",1980
"Women","25 m Breaststroke 1B","Silver","ROBERTSON Eileen","ZIM",1980
"Women","25 m Breaststroke 1B","Bronze","BAUM B.","USA",1980
"Women","25 m Breaststroke 1C","Gold","BARR Isabel","GBR",1980
"Women","50 m Breaststroke CP C","Gold","LUNDKVIST Eva","SWE",1980
"Women","50 m Breaststroke CP C","Silver","VAN DER MEER M.","NED",1980
"Women","50 m Breaststroke CP C","Bronze","BACH Dorthe","DEN",1980
"Women","50 m Breaststroke E1","Gold","KARLSDOTTIR S.","ISL",1980
"Women","50 m Breaststroke F","Gold","SEARGEANT M.","CAN",1980
"Women","50 m Breaststroke F","Silver","ALLARD M. H.","FRA",1980
"Women","50 m Breaststroke F1","Gold","SCHAD Petra","FRG",1980
"Women","50 m Breaststroke F1","Silver","SIEVERT U.","FRG",1980
"Women","50 m Breaststroke J","Gold","LAKE Josee","CAN",1980
"Women","50 m Breaststroke J","Silver","VAN DE ZAAG Jolande","NED",1980
"Women","50 m Breaststroke 2","Gold","QUELL Margit","FRG",1980
"Women","50 m Breaststroke 2","Silver","WEBER D.","FRG",1980
"Women","50 m Breaststroke 2","Bronze","PRICE M.","GBR",1980
"Women","50 m Breaststroke 3","Gold","RIZZOTTO Marcela","ARG",1980
"Women","50 m Breaststroke 3","Silver","MCPHERSON Nella","JAM",1980
"Women","50 m Breaststroke 3","Bronze","LUNDBORG Monika","SWE",1980
"Women","100 m Breaststroke A","Gold","MICHEL Yvette","CAN",1980
"Women","100 m Breaststroke A","Silver","ROBINSON Lorraine","GBR",1980
"Women","100 m Breaststroke A","Bronze","HUYBEN M.","NED",1980
"Women","100 m Breaststroke B","Gold","AKINS Missy","USA",1980
"Women","100 m Breaststroke B","Silver","BENTZ L.","CAN",1980
"Women","100 m Breaststroke B","Bronze","TREE J.","GBR",1980
"Women","100 m Breaststroke C","Gold","KRISTIANSEN C.","CAN",1980
"Women","100 m Breaststroke C1","Gold","KRAJEWSKA Lucyna","POL",1980
"Women","100 m Breaststroke C1","Silver","SANDERS Mirjam","NED",1980
"Women","100 m Breaststroke C1","Bronze","DUDKA Ewa","POL",1980
"Women","100 m Breaststroke CP D","Gold","HAGERAATS Ineke","NED",1980
"Women","100 m Breaststroke CP D","Silver","MARTINSEN Inger Johanne","NOR",1980
"Women","100 m Breaststroke CP D","Bronze","HAGEN Vibeke","NOR",1980
"Women","100 m Breaststroke D","Gold","VAUGHAN M.","GBR",1980
"Women","100 m Breaststroke D","Silver","MITCHELL J.","CAN",1980
