31;"Karl Feinauer";"RStudio 1.3 Preview: Remote Sessions in RStudio Desktop Pro";"2020-03-10"
31;"Gary Ritchie";"RStudio 1.3 Preview: Accessibility";"2020-03-04"
31;"Sean Lopp";"RStudio Package Manager 1.1.2 - Windows";"2020-02-27"
31;"Kevin Ushey";"RStudio 1.3 Preview: Integrated Tutorials";"2020-02-25"
31;"Jonathan McPherson";"RStudio 1.3 Preview: Configuration and Settings";"2020-02-18"
31;"Mine Çetinkaya-Rundel";"Shiny Contest 2020 is here!";"2020-02-12"
32;"Hadley Wickham";"tidyr 0.3.0";"2015-09-13"
32;"Hadley Wickham";"dplyr 0.4.3";"2015-09-04"
32;"Roger Oberg";"RStudio adds a new Starter Plan, More Active Hours, and a Performance Boost to shinyapps.io";"2015-08-24"
32;"RStudio Team";"Secure HTTPS Connections for R";"2015-08-17"
32;"Roger Oberg";"JSM 2015 | Check out these talks and visit RStudio!";"2015-08-03"
32;"Garrett Grolemund";"New R Markdown articles section, plus .Rmd to .docx super powers!";"2015-07-22"
32;"Garrett Grolemund";"Article Spotlight: Persistent data storage in Shiny apps";"2015-07-15"
32;"Garrett Grolemund";"Spark 1.4 for RStudio";"2015-07-14"
32;"RStudio Team";"Accelerating R: RStudio and the new R Consortium";"2015-06-30"
32;"Yihui Xie";"DT: An R interface to the DataTables library";"2015-06-24"
33;"Adam Conroy";"RStudio 1.3 Preview: Real Time Spellchecking";"2020-02-11"
33;"J.J. Allaire";"RStudio, PBC";"2020-01-29"
33;"Javier Luraschi";"sparklyr 1.1: Foundations, Books, Lakes and Barriers";"2020-01-29"
33;"Sean Lopp";"RStudio Connect 1.8.0 ";"2020-01-22"
33;"Anne Carome";"Start 2020 with mad new skills you learned at rstudio::conf. Final Call";"2020-01-12"
33;"Kevin Ushey";"reticulate 1.14";"2019-12-20"
33;"Lou Bajuk";"R vs. Python: What's the best language for Data Science?";"2019-12-17"
33;"Sean Lopp";"Emails from R: Blastula 0.3";"2019-12-05"
33;"Lou Bajuk";"RStudio's Commercial Desktop License is now RStudio Desktop Pro";"2019-12-03"
33;"Barret Schloerke";"learnr 0.10.0";"2019-12-02"
34;"Roger Oberg";"Register for Hadley Wickham's Master R Developer Workshop - San Francisco";"2015-12-09"
34;"Garrett Grolemund";"RStudio Essentials Webinar Series";"2015-12-01"
34;"Joe Cheng";"Shiny Developer Conference | Stanford University | January 2016";"2015-10-29"
34;"Hadley Wickham";"roxygen2 5.0.0";"2015-10-29"
34;"Hadley Wickham";"readr 0.2.0";"2015-10-28"
34;"Hadley Wickham";"testthat 0.11.0";"2015-10-15"
34;"Hadley Wickham";"purrr 0.1.0";"2015-09-29"
34;"Hadley Wickham";"rvest 0.3.0";"2015-09-24"
34;"Roger Oberg";"Are you headed to Strata? It's next week!";"2015-09-23"
34;"Hadley Wickham";"devtools 1.9.1";"2015-09-13"
35;"Javier Luraschi";"pins 0.3.0: Azure, GCloud and S3";"2019-11-28"
35;"Sean Lopp";"Package Manager 1.1.0.1 Patch Release";"2019-11-26"
35;"Anne Carome";"Thinking about rstudio::conf 2020? See the full conference schedule!";"2019-11-25"
